country,year,eating_disorder_index
Austria,2012,0.61
Austria,2013,0.61
Austria,2014,0.62
Austria,2015,0.62
Austria,2016,0.61
Austria,2017,0.61
Austria,2018,0.61
Austria,2019,0.62
Belarus,2012,0.13
Belarus,2013,0.14
Belarus,2014,0.14
Belarus,2015,0.14
Belarus,2016,0.14
Belarus,2017,0.14
Belarus,2018,0.14
Belarus,2019,0.14
Belgium,2012,0.47
Belgium,2013,0.47
Belgium,2014,0.47
Belgium,2015,0.47
Belgium,2016,0.47
Belgium,2017,0.48
Belgium,2018,0.48
Belgium,2019,0.48
Bosnia And Herzegovina,2012,0.14
Bosnia And Herzegovina,2013,0.14
Bosnia And Herzegovina,2014,0.14
Bosnia And Herzegovina,2015,0.14
Bosnia And Herzegovina,2016,0.14
Bosnia And Herzegovina,2017,0.14
Bosnia And Herzegovina,2018,0.14
Bosnia And Herzegovina,2019,0.15
Bulgaria,2012,0.15
Bulgaria,2013,0.16
Bulgaria,2014,0.16
Bulgaria,2015,0.16
Bulgaria,2016,0.16
Bulgaria,2017,0.16
Bulgaria,2018,0.17
Bulgaria,2019,0.17
Croatia,2012,0.17
Croatia,2013,0.17
Croatia,2014,0.18
Croatia,2015,0.18
Croatia,2016,0.18
Croatia,2017,0.18
Croatia,2018,0.18
Croatia,2019,0.18
Czechia,2012,0.2
Czechia,2013,0.2
Czechia,2014,0.2
Czechia,2015,0.2
Czechia,2016,0.2
Czechia,2017,0.2
Czechia,2018,0.21
Czechia,2019,0.21
Estonia,2012,0.18
Estonia,2013,0.18
Estonia,2014,0.18
Estonia,2015,0.18
Estonia,2016,0.18
Estonia,2017,0.19
Estonia,2018,0.19
Estonia,2019,0.19
Finland,2012,0.52
Finland,2013,0.52
Finland,2014,0.52
Finland,2015,0.52
Finland,2016,0.52
Finland,2017,0.52
Finland,2018,0.53
Finland,2019,0.53
France,2012,0.5
France,2013,0.51
France,2014,0.51
France,2015,0.51
France,2016,0.51
France,2017,0.51
France,2018,0.51
France,2019,0.52
Germany,2012,0.46
Germany,2013,0.46
Germany,2014,0.46
Germany,2015,0.46
Germany,2016,0.46
Germany,2017,0.46
Germany,2018,0.47
Germany,2019,0.47
Greece,2012,0.48
Greece,2013,0.48
Greece,2014,0.48
Greece,2015,0.48
Greece,2016,0.48
Greece,2017,0.48
Greece,2018,0.48
Greece,2019,0.47
Hungary,2012,0.18
Hungary,2013,0.19
Hungary,2014,0.19
Hungary,2015,0.19
Hungary,2016,0.19
Hungary,2017,0.19
Hungary,2018,0.2
Hungary,2019,0.2
Iceland,2012,0.48
Iceland,2013,0.48
Iceland,2014,0.48
Iceland,2015,0.48
Iceland,2016,0.49
Iceland,2017,0.49
Iceland,2018,0.5
Iceland,2019,0.5
Ireland,2012,0.46
Ireland,2013,0.46
