country,year,life_quality
Austria,2012,159.9
Belgium,2012,100.7
Bosnia And Herzegovina,2012,28.0
Bulgaria,2012,30.8
Croatia,2012,93.1
Czechia,2012,88.1
France,2012,119.5
Germany,2012,184.4
Greece,2012,23.3
Hungary,2012,48.7
Ireland,2012,125.1
Italy,2012,49.7
Netherlands,2012,158.1
Norway,2012,183.4
Poland,2012,60.6
Portugal,2012,105.1
Romania,2012,25.5
Russia,2012,-7.4
Serbia,2012,34.6
Slovenia,2012,121.9
Spain,2012,100.9
Sweden,2012,171.7
Switzerland,2012,194.1
Ukraine,2012,-14.6
United Kingdom,2012,110.1
Austria,2013,167.4
Belgium,2013,146.7
Bosnia And Herzegovina,2013,71.6
Bulgaria,2013,53.7
Croatia,2013,88.9
Czechia,2013,122.2
Estonia,2013,154.9
Finland,2013,167.2
France,2013,151.4
Germany,2013,204.8
Greece,2013,55.5
Hungary,2013,85.6
Ireland,2013,149.6
Italy,2013,87.4
Lithuania,2013,114.0
Netherlands,2013,160.5
Norway,2013,173.9
Poland,2013,90.5
Portugal,2013,119.8
Romania,2013,57.8
Russia,2013,18.5
Serbia,2013,63.7
Slovakia,2013,114.6
Slovenia,2013,133.6
Spain,2013,141.1
Sweden,2013,191.4
Switzerland,2013,215.7
Ukraine,2013,31.9
United Kingdom,2013,148.1
Austria,2014,171.8
Belarus,2014,74.4
Belgium,2014,134.7
Bosnia And Herzegovina,2014,74.6
Bulgaria,2014,62.6
Croatia,2014,108.7
Czechia,2014,123.0
Estonia,2014,145.4
Finland,2014,178.9
France,2014,136.3
Germany,2014,192.7
Greece,2014,77.5
Hungary,2014,83.2
Ireland,2014,142.4
Italy,2014,90.6
Lithuania,2014,121.9
Netherlands,2014,161.0
Norway,2014,168.4
Poland,2014,95.2
Portugal,2014,124.7
Romania,2014,63.3
Russia,2014,16.5
Serbia,2014,69.3
Slovakia,2014,108.7
Slovenia,2014,125.6
Spain,2014,123.6
Sweden,2014,180.9
Switzerland,2014,206.2
Ukraine,2014,22.2
United Kingdom,2014,151.0
Austria,2015,182.6
